doctor_id,doctor_name,specialization,experience_years,phone,department_id
1,Doctor_1,Neurologist,27,9792961108,16
2,Doctor_2,Pediatrician,35,9748879071,155
3,Doctor_3,Pediatrician,16,9764504816,153
4,Doctor_4,Pediatrician,5,9718041391,81
5,Doctor_5,Pediatrician,27,9774995086,238
6,Doctor_6,Neurologist,22,9791424562,74
7,Doctor_7,Orthopedic,21,9756354851,205
8,Doctor_8,Neurologist,24,9779119463,288
9,Doctor_9,Cardiologist,21,9742445506,239
10,Doctor_10,Cardiologist,18,9770343755,127
11,Doctor_11,Neurologist,7,9716792127,149
12,Doctor_12,Pediatrician,27,9743322272,82
13,Doctor_13,ENT Specialist,21,9787535841,161
14,Doctor_14,Neurologist,11,9776876068,264
15,Doctor_15,Pediatrician,32,9751411602,255
16,Doctor_16,Cardiologist,6,9762780072,259
17,Doctor_17,Pediatrician,16,9738876195,299
18,Doctor_18,Orthopedic,4,9716783418,145
19,Doctor_19,Pediatrician,31,9748352498,275
20,Doctor_20,Cardiologist,7,9767838146,69
21,Doctor_21,Orthopedic,24,9764123845,188
22,Doctor_22,Cardiologist,26,9716866268,292
23,Doctor_23,Dermatologist,13,9758657117,284
24,Doctor_24,Orthopedic,5,9761854861,259
25,Doctor_25,Pediatrician,18,9793650068,61
26,Doctor_26,Neurologist,7,9762868861,192
27,Doctor_27,ENT Specialist,22,9784870921,188
28,Doctor_28,ENT Specialist,10,9736717096,261
29,Doctor_29,Pediatrician,33,9715402922,24
30,Doctor_30,Cardiologist,9,9754699966,243
31,Doctor_31,Dermatologist,30,9729990477,264
32,Doctor_32,Neurologist,21,9792284610,164
33,Doctor_33,Neurologist,26,9792745294,154
34,Doctor_34,Dermatologist,22,9778090664,261
35,Doctor_35,Dermatologist,32,9785554415,154
36,Doctor_36,Pediatrician,2,9759440148,170
37,Doctor_37,Oncologist,8,9765907088,299
38,Doctor_38,Orthopedic,2,9790115852,243
39,Doctor_39,Orthopedic,15,9716892773,299
40,Doctor_40,Pediatrician,11,9780361272,195
41,Doctor_41,Neurologist,16,9714237322,294
42,Doctor_42,Oncologist,8,9735606639,10
43,Doctor_43,Pediatrician,21,9766207740,78
44,Doctor_44,Pediatrician,14,9765079923,257
45,Doctor_45,ENT Specialist,31,9718359252,71
46,Doctor_46,Dermatologist,14,9785280948,167
47,Doctor_47,Oncologist,31,9780528349,193
48,Doctor_48,Orthopedic,12,9771694994,273
49,Doctor_49,Orthopedic,35,9757551594,136
50,Doctor_50,Dermatologist,31,9735805259,127
51,Doctor_51,Orthopedic,20,9740181142,153
52,Doctor_52,ENT Specialist,19,9737820354,251
53,Doctor_53,Orthopedic,31,9756815569,287
54,Doctor_54,ENT Specialist,18,9748626436,63
55,Doctor_55,Dermatologist,35,9760961690,203
56,Doctor_56,ENT Specialist,23,9729659692,149
57,Doctor_57,Cardiologist,19,9720607151,178
58,Doctor_58,Pediatrician,17,9774300930,110
59,Doctor_59,Neurologist,35,9746390817,288
60,Doctor_60,Oncologist,18,9728424464,56
61,Doctor_61,Dermatologist,16,9742542167,26
62,Doctor_62,Oncologist,34,9740289135,120
63,Doctor_63,Cardiologist,7,9765472370,170
64,Doctor_64,Oncologist,31,9723494908,71
65,Doctor_65,Cardiologist,11,9764614193,244
66,Doctor_66,Pediatrician,13,9748553376,165
67,Doctor_67,Orthopedic,4,9722007214,294
68,Doctor_68,Neurologist,35,9715006085,90
69,Doctor_69,Pediatrician,12,9714877451,204
70,Doctor_70,ENT Specialist,32,9735006323,149
71,Doctor_71,Cardiologist,1,9750049524,291
72,Doctor_72,Dermatologist,7,9754968591,146
73,Doctor_73,Pediatrician,35,9780372842,253
74,Doctor_74,Neurologist,33,9772816684,140
75,Doctor_75,Neurologist,8,9754383668,84
76,Doctor_76,Oncologist,30,9797011385,132
77,Doctor_77,Oncologist,12,9711890348,173
78,Doctor_78,ENT Specialist,19,9786206305,99
79,Doctor_79,Neurologist,26,9767405358,264
80,Doctor_80,Orthopedic,6,9763798927,49
81,Doctor_81,Neurologist,9,9774082804,166
82,Doctor_82,Neurologist,1,9745002007,197
83,Doctor_83,Neurologist,29,9745835371,169
84,Doctor_84,Orthopedic,1,9745105069,185
85,Doctor_85,Oncologist,16,9718338186,61
86,Doctor_86,Pediatrician,20,9731436829,208
87,Doctor_87,Oncologist,33,9751738753,61
88,Doctor_88,Oncologist,19,9759330907,114
89,Doctor_89,Neurologist,9,9774180488,79
90,Doctor_90,Pediatrician,24,9765813853,282
91,Doctor_91,Pediatrician,35,9799133246,112
92,Doctor_92,ENT Specialist,16,9789968863,42
93,Doctor_93,Dermatologist,29,9780890196,186
94,Doctor_94,Cardiologist,8,9718289024,281
95,Doctor_95,Dermatologist,13,9786866717,275
96,Doctor_96,Neurologist,11,9754039203,267
97,Doctor_97,Pediatrician,8,9737568520,299
98,Doctor_98,Pediatrician,6,9778501420,229
99,Doctor_99,ENT Specialist,4,9770858653,68
100,Doctor_100,Dermatologist,27,9771310453,289
101,Doctor_101,Cardiologist,30,9751361818,12
102,Doctor_102,Pediatrician,17,9710404729,112
103,Doctor_103,Dermatologist,5,9716078694,217
104,Doctor_104,Orthopedic,5,9782633735,31
105,Doctor_105,Cardiologist,31,9714259382,147
106,Doctor_106,Pediatrician,12,9728176954,216
107,Doctor_107,Orthopedic,25,9770201634,194
108,Doctor_108,Pediatrician,6,9798824290,277
109,Doctor_109,Neurologist,23,9725922674,92
110,Doctor_110,Dermatologist,26,9780980044,66
111,Doctor_111,Oncologist,15,9710466177,12
